"bridges_ratio","moran_i_degree","getis_gi_degree_mean","rosval_mean","d_value","c1","c9","c11","c15","c16"
2628437.89527846,-196182.611946081,-244606.783814794,-4291319.29445681,-2118671.29270249,1774327.85351234,-493475.410049928,1151595.74922527,-3032124.65687556,-26844132.352228
-2228234.44663123,-8722692.61850033,-1836574.53102548,515370.947343858,18388386.8670006,-4019618.58171072,144665.388346197,-68760.3809983834,3751960.64488002,26585062.0376686
-1625734.99512853,-1369473.36431527,1151037.64842023,-711258.364330502,19606339.1254603,-1605486.10214312,284749.302793442,-291798.242424098,1690565.77218989,22014439.2731235
1170671.31622063,1388387.11446816,-1432920.92583862,-752847.499380647,-3543396.13262594,-301707.261525325,-184631.36064486,-26481.6559590006,-1379997.6761994,-6807306.46626898
508879.140466751,-2545025.47689357,3934641.26045435,3310462.01955418,6937260.24495724,4171595.77465038,300624.004623306,-431652.080783733,1670970.78311431,7781948.92968477
3136622.11863171,3102497.30402066,-780218.855726268,2251535.71533913,-1455648.54024338,2439320.04716129,-232027.063382528,-224289.487177772,-1080655.33448978,-12341837.6018724
1948242.98577612,1586947.1528828,798687.833872511,356562.865022794,2066500.96093828,3142251.63226722,152516.884762706,-285458.392329959,1499027.7594301,10677313.0645178
-2283223.59481994,-2628863.21097997,-1685935.82388462,-657935.498531827,27993024.2672809,-3174256.07231706,392974.436668496,-65168.5414557165,142676.817780034,273488.708312337
-1876636.18994763,-2051866.02555712,-127365.956310216,3643468.14424288,4292050.33127108,2399724.94858571,266442.348901307,-634600.357035679,3758171.59273081,27219351.476271
-1752719.2757508,-1696923.42228649,-1386181.81767311,756358.917300119,13991525.9859567,-7063246.4236519,144559.150274964,-174814.953185602,1054624.19124461,20504098.8464449
-2156316.63859814,-1447925.25298323,-1559006.7089165,4913496.37866639,17046119.5264981,-6169758.03413333,209738.7610625,-547540.265883172,4529006.65493155,33922153.9726508
-1775660.14037967,-3949950.37258423,1386526.90670166,1293451.36307096,7656171.3804572,-1892554.09377803,286813.280759595,-667989.748154276,873587.671497023,-24892771.8641061
-1859172.13453726,-6362888.24541452,1203577.81325477,-1975580.7202232,9891649.11624848,-1557110.46677081,8409.29248208032,-88236.8232015789,-790403.010939581,-11981802.4159259
-2834387.43031135,838516.695213294,-232602.318331326,-725786.618275203,-4080772.14489541,-1980207.3319934,-459957.370138381,-59903.0159807989,608384.348555257,-19025958.1947942
-142752.836809542,-15158.1159351845,857891.075501934,-3221385.22759832,13234806.8263837,2194570.77987636,214286.923590803,559945.437062984,-2403988.33945957,-18490909.3175699
3118428.22055693,566774.511977126,6277916.25077709,-3238277.43855624,-6585992.78701926,3641556.51910229,-182119.96880827,541356.363720479,-2572014.86018145,-22541107.7142356
-100199.1847788,-112501.295573933,295065.606897894,-3682908.52172972,17328716.6690062,-1733973.95518288,218282.761775905,1186233.93325274,-640268.164525749,-3370255.6415175
-2439972.05009961,-3612446.31438511,1144017.00857355,-12450.6510952633,-8723391.54159162,3080373.7080252,-53837.5739077662,-580401.417533959,-540992.469384038,-29762433.2942209
-1920909.04712231,-5742098.70826296,2432272.3333742,-878284.583552267,-13892652.2642216,4360969.49129342,-96842.5512920327,-513192.020305437,-1554405.81428044,-31826364.8372445
-1312865.33259693,-385680.027823659,-3058920.14211617,177240.551719159,9901359.86962106,766124.054095169,-138293.321811915,42995.5517824024,1286898.06106266,16266790.9384931
