"centralization_degree","bridges_ratio","getis_gi_degree_mean","rosval_mean","orientation_entropy","c1","c5","c8","c10","c13","c14","c15"
-29068128.4136344,30285151.9824722,4742248.2008865,12554192.900729,2138179.72437643,-11741246.4677539,-55571803.096987,-7238.85723945584,-5836835.80772984,-21141118.211979,-65643167.032247,-39579659.3573747
-1956835.06600468,30141062.8332647,3006966.25763487,10443970.0864976,1851763.08294529,7466665.8225736,-49120424.1561846,2695.76411516502,-1852877.30495485,-10352919.7405669,-42309846.8226211,-32594385.377114
4751622.18553079,-9104864.17331102,1437660.15981747,-9242774.543759,4689253.08089477,-8921361.02993682,80444197.8941161,-18354.7204105876,3592833.78475052,10393117.9318915,-23753700.2262343,-35692804.6615
-37270429.9906659,16040578.6036819,-535142.30906285,-23087459.7137305,-16875349.6997698,8917161.48833713,79339590.3324565,-53189.7167282754,3860107.77595985,14320831.7454813,-44384581.811545,-45344290.1101657
11622412.3673809,-13895694.9435086,-4341843.4532298,2421602.66993659,-25509872.1838405,-20423155.6796851,-9816272.83738285,9487.09016099755,-3907069.8473182,-13196269.9290231,43579014.4048957,55689151.885826
6839968.31544589,-9896931.2987948,2647174.7904554,-3927463.27122535,7408240.35780857,-7986663.38683351,-2106208.39346472,-14972.5596929857,-9601199.74627708,-16866276.6173069,8262793.56741156,25917001.8276283
-4310665.51007089,7087680.14241976,-3332566.94226729,-4075780.66979571,2937438.96474805,-1478596.56120179,-9086154.48344219,-27335.806156599,-6488117.82184035,-3442074.53347657,-22949452.4216783,-21038098.7216772
3436249.74960727,3063394.95543252,9123723.0148488,17915097.3688965,8117528.07574874,20390845.6430631,-861133.74377863,21625.8710160879,8619880.85662016,10318254.6030296,-12096531.3911912,25913715.4054787
10737411.0554365,18786851.860126,-1828644.19001612,12040165.3992733,10238241.9255413,11741012.777557,-634900.533819244,2363.48401468637,5051842.56944083,-385403.02437053,-5954719.04314184,-18110683.1810241
6246747.46125544,11740504.0485883,1825942.91046054,1880066.44913691,8415455.59601409,15292101.3168379,-24872337.3043565,13124.2660874673,5058579.61661476,-3670287.50910546,-6233782.70992943,23301762.770526
2752972.5943085,-13900261.3053864,-3952018.72800069,-3644712.14635703,-17026645.2925666,-15669037.3805797,74117876.6131735,15121.3548250258,4709855.69031038,-848732.098707442,44675497.674952,1729910.4029086
12079819.7272256,-11536404.5537879,-284333.282761071,19629436.1365374,10795465.3176853,11584866.2324562,-48499837.385924,30426.9662258547,5707109.83800378,-22651356.4358315,56856140.3873177,55788799.3771863
10357854.6766832,-10631472.151783,-3256833.55772088,4059269.14738069,7748818.932678,-34654241.4634193,-12788317.2172368,16368.5589953595,-2843366.70590112,-22331657.6046305,40631783.2359095,16873309.4843892
11375645.4143517,-13588348.0196571,-3681388.1687046,26251318.9657255,9866455.44082361,-30770072.6804443,-35249830.8273163,20910.7406237852,-157466.843250292,-31329661.6257948,95163964.7785813,65223161.6252792
13053509.3101237,-10825165.5715049,3204052.99726295,6904689.41306128,6941004.99280485,-9389466.57626801,95447472.3277364,28995.1158896792,12810050.9979644,-1444451.70207728,35073563.1300373,12912149.8812995
909487.155268139,-11296302.1019292,2774583.97847635,-10739855.9655639,337213.650530137,-7720493.54171162,45338487.9202349,-14390.1995861192,-2559861.7854999,15780662.6329407,-12198961.7402616,-11992463.5280717
8437015.61691086,-17103136.700008,-552705.661082966,-3906127.21993155,6723430.04011625,-9681947.99053832,35488530.0430332,2565.74442870866,7533352.79382091,4830874.62609817,38593959.0454161,10373905.3224939
-13119480.3632411,-854324.988264765,2005218.57135612,-17441346.8492206,3146577.40610445,10770600.6474635,105528950.539815,-13996.5253591033,-2629821.94757409,11822296.1625189,-30700415.8149473,-37345264.4904106
-45455039.5935262,18075611.9231213,14469648.8249843,-18068140.8173317,2151170.01046386,16677960.327044,47301833.6295702,263.745470527704,3199653.72717977,15824233.7682773,-56747133.5122676,-44580647.9414944
-13695296.2565188,-543250.80696409,691611.034176976,-19888522.2636768,-389101.0601319,-8400940.85898729,62224160.2911672,-17547.6414375006,-13398815.3610504,9607446.55237822,-27273088.0046155,-9176078.12996703
-2558322.9103211,-14799923.4414798,2660798.16419356,-105924.168608489,-14627533.1265873,15039421.5515041,119069695.987072,18609.6087924822,12065446.178538,3575028.32034826,36979082.4632952,-9149804.36599596
-5550631.79912395,-12230971.808803,5530595.98655227,-5354988.40552568,6114979.2553121,20500938.2271593,132629275.867933,19281.9593514752,12345787.2440948,14833710.077674,3391412.73495833,-27980846.7143364
11676630.5233221,-7751789.42148735,-7062268.67397446,1158352.3403553,3637672.00869096,4062300.54817887,-41620232.6655203,13067.0719098888,1998640.56533051,-8575689.68596305,24917480.8773499,20751202.4464832
