Map,agent,final_timestep,initial_rsl21,final_rsl21,final_alive,total_health,transport_rate,road_clear_rate,buried_rescue_rate,dist_per_rescue,dist_per_transport,total_buried_time
chile39_20,concentration2_cluster_9_group_none,300.0,375.0,188.23,90.67,88.17,58.06,99.59,57.41,45766938.56,466405830.95,32324.0
chile01_9,distributed,300.0,375.0,133.57,84.27,82.78,50.0,75.06,27.69,85401067.03,533348783.26,52277.0
chile01_9,concentration2_cluster_9_group_none,300.0,375.0,133.01,84.0,82.76,66.67,72.15,18.46,101608482.71,506111235.94,53861.0
okayama_14,distributed,300.0,293.0,109.14,83.96,83.75,77.78,50.75,20.93,79156697.87,385639476.62,34033.0
okayama_14,concentration2_cluster_9_group_none,300.0,293.0,109.14,83.96,83.75,70.0,49.06,23.26,60619473.61,368038686.97,34029.0
belize04_25,distributed,300.0,338.0,135.02,85.8,84.71,77.78,59.74,18.0,81218685.53,513175778.12,41177.0
belize04_25,concentration2_cluster_9_group_none,300.0,338.0,134.13,85.8,84.58,90.0,58.31,20.0,77953741.51,355650736.42,40675.0
yamanashi_2,distributed,300.0,320.0,114.5,84.06,82.92,75.0,36.03,7.27,92713514.41,636044086.18,47226.0
yamanashi_2,concentration2_cluster_9_group_none,300.0,320.0,113.22,83.75,82.77,83.33,38.11,10.91,73635613.1,393081456.58,46390.0
philippines30_21,distributed,300.0,290.0,95.66,82.76,81.6,66.67,49.97,16.98,119616112.19,257888764.33,44096.0
philippines30_21,concentration2_cluster_9_group_none,300.0,290.0,98.07,83.45,81.94,80.0,58.97,18.87,110738840.91,252198080.86,43270.0
indonesia43_21,distributed,300.0,344.0,127.25,84.59,83.46,54.55,67.52,20.0,55537732.61,345528272.14,45563.0
indonesia43_21,concentration2_cluster_9_group_none,300.0,344.0,124.79,84.01,83.2,63.64,67.47,20.0,42548416.93,433927067.66,46295.0
austria37_28,distributed,300.0,334.0,136.21,86.83,84.89,60.87,93.93,41.82,59679731.03,563297146.75,39227.0
austria37_28,concentration2_cluster_9_group_none,300.0,334.0,151.84,89.22,86.51,68.0,94.29,45.45,58101583.63,502480010.2,36678.0
philippines25_27,distributed,300.0,371.0,145.06,85.98,84.24,66.67,80.07,25.0,63564127.15,360394929.9,48612.0
philippines25_27,concentration2_cluster_9_group_none,300.0,371.0,148.42,86.25,84.63,85.71,80.3,23.33,59580091.29,300294342.38,47854.0
india06_15,distributed,300.0,235.0,92.17,86.81,84.11,62.5,72.1,21.62,75032673.83,409624731.53,29948.0
india06_15,concentration2_cluster_9_group_none,300.0,235.0,93.53,86.38,84.5,85.71,71.62,18.92,91539891.87,467043179.47,29460.0
mongolia05_15,distributed,300.0,250.0,173.48,95.2,93.68,72.73,90.47,55.0,72789333.58,736403095.01,11784.0
mongolia05_15,concentration2_cluster_9_group_none,300.0,250.0,161.99,94.0,92.56,90.0,88.72,50.0,80178591.4,611052409.67,12475.0
